id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
17-01,2809,2097,1343,1135,331,1067,828,202,88,995,9,27,158,0,421,1111,62,770,6,17,97,0,258,887,159,1749,901,87,1378,632,1,1482,4,15,445,862,0,1138,4,10,339,606
19-18,3474,2772,1608,1478,388,1304,1179,289,81,560,9,29,139,0,441,2215,70,447,7,22,105,0,330,1791,158,2360,956,120,1905,747,1,1081,0,26,1024,1342,0,897,0,13,838,1024
19-16,2829,2242,1351,1180,298,1121,909,212,44,730,9,14,83,0,358,1591,33,601,8,8,60,0,251,1281,107,1919,803,75,1563,604,0,1094,2,21,821,891,0,910,2,12,654,664
18-02,5006,4226,2380,2285,341,2029,1937,260,100,168,6,24,142,0,417,4149,81,147,5,16,123,0,323,3531,121,3610,1275,101,3104,1021,2,1209,1,42,1763,1989,2,1061,1,28,1520,1614
19-12,7384,5780,3608,2966,810,2859,2333,588,135,1019,16,59,221,1,956,4977,105,775,11,44,150,0,694,4001,285,5045,2054,218,3995,1567,8,2259,1,65,2295,2756,5,1788,0,39,1847,2101
12-01,6586,5276,3149,2820,617,2539,2292,445,72,509,9,42,144,0,760,5050,56,393,8,30,107,0,557,4125,177,4371,2038,124,3603,1549,1,1620,6,61,2443,2455,1,1318,5,42,2013,1897
12-02,5110,3994,2415,2097,598,1921,1615,458,46,843,14,39,189,1,710,3268,34,649,10,29,141,1,540,2590,226,3084,1800,179,2452,1363,4,1633,0,62,1508,1903,2,1321,0,43,1224,1404
04-10,2898,2416,1360,1275,263,1162,1051,203,149,141,2,11,130,1,313,2151,126,122,2,11,106,1,246,1802,66,2039,793,54,1725,637,0,882,2,19,675,1320,0,777,2,17,560,1060
19-14,3247,2471,1560,1306,381,1201,993,277,152,564,9,29,148,0,421,1924,130,420,8,21,106,0,288,1498,121,2228,898,77,1742,652,2,1034,0,26,1007,1178,0,803,0,14,792,862
08-03,5739,4386,2676,2265,798,2094,1749,543,191,906,25,35,225,1,903,3453,149,622,20,31,157,1,630,2776,192,3686,1861,148,2882,1356,7,2050,3,40,1331,2308,4,1573,3,27,1068,1711
09-03,3908,3055,1837,1592,479,1472,1240,343,21,963,6,24,86,0,543,2265,15,784,6,15,60,0,384,1791,124,2590,1194,90,2054,911,4,1420,0,25,1233,1226,2,1165,0,15,981,892
