precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_JFA,party_LIB,party_NLB,party_REP,party_UNA,party_WTP,party_CST_voted,party_DEM_voted,party_GRE_voted,party_JFA_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted,party_WTP_voted
16-11,5175,4085,2601,1953,621,2189,1474,422,102,2516,12,35,343,1,780,1386,84,1993,9,27,210,1,533,1228,383,2788,2004,236,2288,1561,0,2677,2,2,36,36,578,1842,2,0,2222,2,2,29,21,480,1328,1
20-08,5338,4569,2576,2329,433,2260,1963,346,458,329,14,26,325,0,462,3724,366,260,13,19,259,0,369,3283,180,3516,1642,138,3059,1372,0,1423,4,0,35,17,1218,2641,0,0,1236,3,0,26,13,1073,2218,0
19-17,5726,4774,2790,2289,647,2419,1873,482,141,1902,17,58,373,0,742,2493,115,1593,13,46,279,0,543,2185,370,3501,1855,286,3017,1471,1,2386,2,0,50,24,927,2335,1,1,2056,2,0,36,17,815,1846,1
20-05,4555,3984,2236,1978,341,1973,1733,278,270,215,13,13,217,0,355,3472,218,180,11,11,178,0,293,3093,88,3167,1300,72,2798,1114,0,1178,1,0,33,9,1189,2145,0,0,1018,1,0,26,7,1065,1867,0
04-09,2923,2511,1387,1311,225,1211,1122,178,339,157,22,15,214,1,263,1912,275,123,19,15,174,1,207,1697,100,1900,923,84,1663,764,0,779,1,0,17,8,676,1442,0,0,683,0,0,14,7,609,1198,0
02-04,2603,2305,1241,1200,162,1110,1060,135,75,88,5,17,89,0,186,2143,65,80,4,13,73,0,154,1916,30,1935,638,23,1729,553,0,564,0,0,9,3,907,1120,0,0,511,0,0,3,3,825,963,0
18-08,4511,3819,2175,1894,442,1892,1594,333,199,411,12,23,281,1,480,3104,162,324,11,20,209,1,368,2724,167,2949,1395,124,2569,1126,0,1354,5,0,24,22,923,2183,0,0,1169,5,0,19,16,815,1795,0
06-11,1411,1186,690,574,147,583,478,125,85,116,5,11,104,0,162,928,75,96,4,10,73,0,138,790,87,832,492,67,703,416,0,408,1,0,13,6,348,634,1,0,351,0,0,12,4,309,510,0
06-07,3756,3200,1769,1677,310,1555,1414,231,186,392,4,23,249,0,361,2541,158,313,3,20,196,0,269,2241,171,2441,1144,118,2142,940,1,1046,0,0,33,10,911,1755,0,1,914,0,0,28,7,801,1449,0
01-20,2977,2106,1275,1187,515,1020,845,241,55,1064,7,28,81,1,581,1160,43,717,6,18,60,0,275,987,93,1620,1264,63,1288,755,0,1550,6,2,15,17,155,1232,0,0,1233,5,1,10,14,116,727,0
04-12,2949,2533,1456,1269,224,1284,1076,173,132,104,5,23,153,0,245,2287,103,78,4,22,112,0,189,2025,82,2118,749,59,1857,617,1,909,0,0,25,5,628,1381,0,1,803,0,0,14,3,553,1159,0
20-06B,3752,3355,1856,1668,228,1679,1493,183,97,104,5,12,115,0,265,3154,75,92,4,9,101,0,214,2860,102,2558,1092,84,2312,959,0,930,1,0,26,1,874,1919,1,0,858,1,0,22,1,784,1688,1
04-02,3022,2527,1428,1340,254,1250,1094,183,82,209,6,18,245,0,332,2130,58,168,3,12,160,0,228,1898,245,1916,861,147,1681,699,1,1044,1,0,21,9,580,1366,0,0,895,1,0,14,7,500,1110,0
11-02,5047,4260,2502,2039,506,2184,1687,389,117,489,5,34,225,2,479,3696,85,369,5,22,171,1,375,3232,168,3337,1542,126,2872,1262,0,1753,5,1,27,15,1121,2125,0,0,1523,5,1,19,9,970,1733,0
04-11,1677,1365,785,722,170,660,582,123,89,191,6,14,133,1,207,1036,69,140,5,11,95,0,146,899,100,1012,565,65,852,448,0,577,1,1,12,5,257,824,0,0,481,1,0,7,3,223,650,0
20-16,5117,4105,2440,1997,680,1978,1583,544,746,937,24,33,456,0,689,2232,598,690,20,28,351,0,537,1881,271,2767,2079,207,2218,1680,0,1782,5,0,30,25,704,2571,0,0,1494,5,0,23,18,572,1993,0
14-02,8513,7492,3952,3875,686,3546,3375,571,191,527,27,36,274,0,729,6729,158,457,25,32,236,0,609,5975,210,5898,2405,179,5248,2065,0,1711,2,0,68,23,3149,3559,1,0,1525,0,0,52,15,2838,3062,0
