id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
10-03,2601,1422,1390,1111,100,795,590,37,20,752,10,27,100,185,1507,8,435,3,10,31,74,861,154,1861,586,48,1072,302,0,1139,0,14,703,745,0,702,0,8,400,312
19-09,4440,2761,2228,2048,164,1395,1282,84,58,788,11,29,90,227,3237,30,560,6,14,44,127,1980,109,3454,877,54,2193,514,0,1421,0,18,1609,1392,0,987,0,8,1007,759
18-08,4000,2346,2000,1826,174,1181,1092,73,156,378,7,26,201,267,2965,82,194,5,13,105,135,1812,107,2970,923,47,1810,489,0,1281,0,26,1027,1666,0,816,0,10,611,909
04-18,2508,1503,1275,1133,100,754,702,47,142,200,5,27,154,151,1829,78,111,2,15,79,84,1134,62,1864,582,28,1144,331,0,817,1,16,580,1094,0,522,0,9,344,628
01-14,3482,2369,1685,1604,193,1187,1093,89,25,446,1,46,62,239,2663,17,223,1,22,37,110,1959,83,2519,880,53,1815,501,1,1700,2,24,425,1330,0,1269,2,12,253,833
01-32,2626,1297,1298,1185,143,667,576,54,65,496,9,36,139,209,1672,31,209,7,18,39,95,898,93,1888,645,28,976,293,0,1086,0,23,426,1091,0,600,0,8,195,494
01-11,2175,1641,1089,1040,46,822,798,21,14,13,0,2,26,68,2052,10,9,0,0,19,43,1560,15,1802,358,13,1386,242,0,625,0,4,990,556,0,510,0,3,736,392
19-11,3098,1759,1636,1331,131,941,762,56,46,300,11,22,97,197,2425,20,172,9,10,49,103,1396,114,2371,613,67,1354,338,0,934,0,21,1010,1133,0,604,0,7,570,578
02-03,2891,2082,1407,1421,63,1036,1017,29,36,69,6,12,62,107,2599,22,52,6,6,44,65,1887,31,2417,443,16,1787,279,0,634,1,13,1237,1006,0,498,0,8,882,694
02-02,5466,3773,2694,2604,168,1864,1810,99,97,290,15,26,144,250,4644,63,221,9,12,87,155,3226,78,4383,1005,49,3080,644,1,1273,1,41,2120,2030,0,991,1,20,1462,1299
13-02,1975,1306,1010,899,66,681,588,37,30,168,4,13,52,103,1605,21,108,1,9,30,60,1077,39,1563,373,20,1050,236,1,612,1,12,643,706,0,433,0,6,421,446
01-18,2715,1640,1385,1224,106,865,730,45,22,527,3,26,103,173,1861,6,246,2,10,35,79,1262,115,2028,572,38,1306,296,0,1123,0,26,632,934,0,725,0,9,405,501
20-04,3441,2119,1713,1586,142,1067,973,79,462,149,10,32,254,172,2362,272,103,7,15,142,105,1475,80,2474,887,38,1560,521,0,908,0,24,881,1628,0,595,0,12,543,969
15-02,5234,3153,2650,2409,175,1614,1467,72,58,832,17,45,190,296,3796,28,557,10,25,91,137,2305,240,3853,1141,114,2414,625,0,1617,1,31,1823,1762,0,1065,1,10,1132,945
01-31,3945,1428,1634,1887,424,627,680,121,122,1083,14,69,217,575,1865,36,349,6,28,57,180,772,197,2362,1386,62,924,442,0,1689,1,52,368,1835,0,683,1,11,130,603
11-02,4164,2636,2195,1791,178,1402,1146,88,80,317,8,36,121,230,3372,46,163,4,18,66,117,2222,78,3195,891,46,2084,506,0,1495,0,28,1180,1461,0,1001,0,15,753,867
02-06,2525,1835,1250,1211,64,913,890,32,40,133,3,6,79,83,2181,30,100,2,4,54,46,1599,34,2102,389,21,1566,248,0,602,0,9,1130,784,0,452,0,7,839,537
01-15,2092,1357,1113,897,82,724,594,39,25,140,6,10,59,107,1745,12,77,4,5,33,66,1160,57,1639,396,31,1110,216,0,802,0,16,638,636,0,578,0,3,397,379
01-41,2162,1165,889,1076,197,505,586,74,62,287,5,27,70,267,1444,30,90,1,11,33,112,888,80,1517,565,30,900,235,0,882,1,24,298,957,0,542,0,5,165,453
18-02,4591,3129,2281,2186,124,1562,1510,57,90,140,5,15,132,192,4017,52,107,3,8,84,117,2758,90,3512,989,60,2462,607,0,1125,0,23,1749,1694,0,831,0,14,1212,1072
16-09,3382,1975,1754,1473,155,1034,869,72,44,1158,14,12,129,219,1806,21,744,8,4,51,102,1045,169,2346,867,61,1422,492,0,1548,0,18,780,1036,0,982,0,7,456,530
19-19,5585,3552,2840,2538,207,1808,1639,105,60,595,11,31,138,269,4481,35,395,4,14,86,137,2881,142,4435,1008,70,2890,592,0,1440,0,24,2136,1985,0,986,0,17,1385,1164
17-06,2019,1220,1062,889,68,644,543,33,16,535,9,18,75,141,1225,11,350,5,8,27,68,751,114,1472,433,40,929,251,0,801,0,13,597,608,0,512,0,2,399,307
09-03,2789,1688,1410,1282,97,858,784,46,12,621,4,27,46,162,1917,5,417,3,10,20,69,1164,71,2158,560,19,1349,320,0,999,0,8,1001,781,0,663,0,5,620,400
19-18,2841,1750,1420,1282,139,886,785,79,58,453,7,24,105,174,2020,35,305,3,11,58,104,1234,91,2129,621,50,1325,375,0,873,0,19,934,1015,0,577,0,9,597,567
19-14,2867,1648,1487,1265,115,871,722,55,132,491,7,29,135,140,1933,60,290,4,14,72,76,1132,83,2202,582,40,1295,313,0,850,0,19,969,1029,0,523,0,6,592,527
07-04,3929,2405,2141,1617,171,1329,1004,72,43,668,8,33,123,228,2826,23,343,3,17,51,106,1862,114,3005,810,47,1911,447,0,1577,0,40,797,1515,0,1012,0,16,515,862
12-07,2657,1591,1346,1227,84,827,727,37,14,372,10,22,89,160,1990,3,232,6,11,47,82,1210,92,1927,638,45,1211,335,1,743,0,21,954,938,0,476,0,13,600,502
20-08,4293,2793,2207,1954,132,1436,1283,74,264,294,6,25,201,199,3304,182,179,3,11,117,111,2190,124,3143,1026,59,2099,635,1,1219,1,28,1320,1724,1,861,0,17,873,1041
16-06,1400,698,745,610,45,388,297,13,4,458,3,8,31,96,800,3,195,2,2,13,33,450,56,1001,343,18,527,153,0,703,0,13,287,397,0,361,0,7,170,160
11-01,4853,2545,2488,2047,318,1352,1087,106,106,572,16,38,170,414,3537,49,260,5,20,67,189,1955,117,3441,1295,47,1889,609,1,1702,1,44,1167,1938,1,1008,0,15,606,915
15-03,4533,2800,2319,2073,141,1428,1306,66,18,468,13,25,108,205,3696,10,303,9,12,45,113,2308,125,3464,944,61,2211,528,0,1202,2,29,1795,1505,0,795,1,16,1144,844
02-04,2267,1653,1110,1086,71,817,795,41,57,82,2,17,61,95,1953,41,60,1,12,38,56,1445,21,1858,388,11,1396,246,0,526,0,12,980,749,0,402,0,10,727,514
14-02,5909,3837,2923,2779,207,1925,1817,95,90,302,11,31,138,280,5057,60,222,4,21,97,152,3281,99,4781,1029,63,3152,622,0,1232,0,38,2634,2005,0,898,0,17,1730,1192
17-01,2706,1487,1383,1163,160,808,624,55,77,1057,14,30,148,239,1141,33,594,6,8,47,103,696,155,1801,750,40,1079,368,1,1461,0,16,426,802,0,840,0,8,263,376
19-03,2936,1582,1545,1262,129,851,677,54,23,299,6,22,80,183,2323,11,143,5,10,25,85,1303,85,2274,577,33,1260,289,1,842,0,26,1034,1033,0,523,0,8,533,518
01-01,1946,1160,920,860,166,569,527,64,32,173,4,31,39,237,1430,16,84,3,19,20,98,920,55,1306,585,32,846,282,0,824,0,13,299,810,0,587,0,6,144,423
05-07,6364,3327,3126,2883,355,1640,1516,171,1752,650,39,60,595,492,2776,842,390,22,27,281,250,1515,226,3968,2170,117,2102,1108,2,2080,0,42,988,3252,0,1234,0,20,468,1605
01-25,799,273,349,349,101,155,99,19,2,499,0,7,23,124,144,1,164,0,3,6,25,74,15,437,347,5,172,96,0,474,0,8,40,277,0,186,0,1,13,73
20-06A,4649,2987,2448,2011,190,1591,1306,90,171,587,6,42,211,313,3319,125,341,2,20,119,179,2201,199,3133,1317,108,2068,811,0,1518,2,41,1228,1860,0,1029,0,19,781,1158
01-49,3341,1285,1575,1276,490,662,509,114,81,934,8,57,145,536,1580,24,339,0,29,36,137,720,140,1922,1279,43,833,409,0,1369,1,32,502,1437,0,609,0,10,198,468
04-08,2347,1488,1195,1047,105,784,656,48,168,357,9,22,142,158,1491,100,210,6,10,81,86,995,86,1652,609,55,1094,339,0,877,0,7,468,995,0,586,0,3,301,598
05-05,6813,3089,3527,2785,501,1640,1261,188,387,1457,29,63,335,671,3871,194,659,11,27,138,268,1792,224,4605,1984,87,2152,850,1,2489,1,40,1557,2725,0,1211,0,15,686,1177
20-17,3629,2261,1795,1704,130,1116,1073,72,553,194,14,37,226,187,2418,365,109,8,18,136,108,1517,89,2544,996,45,1616,600,0,921,0,15,973,1720,0,627,0,8,592,1034
01-43,2344,1240,1240,978,126,684,512,44,29,584,0,31,103,196,1401,15,230,0,10,44,78,863,123,1653,568,41,938,261,1,1020,0,20,467,836,0,576,0,10,258,396
08-03,4890,2845,2503,2136,251,1470,1273,102,166,816,18,36,191,351,3312,91,457,13,20,98,169,1997,148,3542,1200,71,2142,632,2,1660,0,38,1280,1910,1,1065,0,18,755,1006
20-03,3576,2274,1871,1573,132,1187,1013,74,90,131,2,18,120,188,3027,49,78,1,10,59,108,1969,83,2634,859,44,1755,475,1,931,3,18,1187,1436,1,671,1,11,731,859
01-35,2508,1086,1288,996,224,653,383,50,11,1933,9,19,68,281,187,6,900,3,8,15,56,98,96,1471,941,13,732,341,0,1790,0,16,64,638,0,883,0,7,24,172
01-50,2902,1627,1554,1159,189,969,590,68,34,2212,10,33,87,253,273,17,1338,6,14,34,100,118,106,1796,1000,32,1090,505,0,2114,0,12,109,667,0,1327,0,2,44,254
08-05,2057,1503,1046,955,56,765,705,33,32,111,1,12,47,94,1760,21,74,1,10,31,60,1306,39,1692,326,21,1261,221,0,623,0,6,701,727,0,480,0,4,507,512
20-11,3894,2398,1946,1796,152,1210,1123,65,163,177,7,24,163,214,3146,106,119,3,14,97,120,1939,132,2817,945,84,1775,539,0,979,0,19,1242,1654,0,690,0,9,729,970
05-01,3934,2244,2035,1706,193,1193,961,90,236,461,12,28,242,245,2710,129,244,6,16,111,139,1599,127,2737,1070,66,1573,605,0,1239,1,29,990,1675,0,742,1,12,603,886
19-07,3404,1952,1778,1438,188,1038,832,82,31,788,5,24,99,230,2227,20,430,2,9,50,105,1336,86,2552,766,39,1508,405,1,1171,2,31,1117,1082,0,715,0,13,642,582
06-04,3715,2120,1935,1621,159,1131,911,78,62,517,15,20,150,232,2719,38,307,7,9,73,121,1565,147,2457,1111,68,1437,615,2,1199,4,34,1020,1456,1,778,2,10,581,748
16-04,2556,1700,1407,1092,57,942,736,22,12,596,8,13,54,109,1764,2,402,4,6,23,52,1211,66,1938,552,29,1329,342,0,1043,0,12,750,751,0,725,0,6,505,464
07-06,3438,2501,1800,1534,104,1318,1128,55,47,180,8,11,83,141,2968,25,102,4,5,47,94,2224,49,2810,579,22,2094,385,1,1079,0,10,1155,1193,0,810,0,9,856,826
17-08,7744,4506,4189,3221,334,2523,1842,141,160,3071,22,104,282,514,3591,73,1929,11,45,118,235,2095,325,5531,1888,145,3325,1036,2,3765,1,33,1580,2363,0,2373,0,13,921,1199
12-06,3718,2179,1964,1638,116,1168,957,54,16,441,8,27,104,190,2932,9,254,2,13,42,99,1760,112,2577,1029,42,1603,534,2,1013,1,23,1384,1295,2,628,0,13,861,675
12-01,5567,3284,2868,2526,173,1719,1503,62,59,477,7,37,144,314,4529,35,292,4,20,74,164,2695,135,4010,1422,71,2466,747,1,1441,0,41,2183,1901,0,914,0,12,1331,1027
08-02,3837,2550,1896,1782,159,1294,1180,76,74,363,5,28,104,197,3066,40,192,2,14,61,107,2134,84,3008,745,40,2069,441,0,1240,1,32,1111,1453,0,874,1,15,746,914
04-12,2703,1841,1388,1249,66,945,864,32,77,100,3,23,107,101,2292,50,55,2,14,56,50,1614,64,2093,546,31,1500,310,0,873,0,9,744,1077,0,657,0,5,497,682
08-11,3763,2322,2008,1566,189,1258,968,96,260,427,12,39,199,284,2542,152,280,8,20,105,140,1617,154,2629,980,93,1656,573,0,1303,2,23,921,1514,0,855,1,13,548,905
01-30,1222,936,631,565,26,475,440,21,13,24,2,1,17,40,1125,7,15,2,1,10,32,869,7,1018,197,3,778,155,1,426,0,8,432,355,1,349,0,3,326,257
01-20,2921,1474,1368,1315,238,754,643,77,36,1368,6,37,51,310,1113,19,640,2,18,26,102,667,59,1868,994,29,1020,425,0,1674,1,25,234,987,0,928,1,9,97,439
07-01,1681,1023,864,735,82,547,439,37,20,264,2,24,75,125,1171,12,83,0,11,28,68,821,80,1229,372,29,798,196,0,690,0,14,378,599,0,406,0,4,259,354
16-02,4718,2378,2573,1903,242,1413,891,74,26,2674,14,55,191,386,1372,13,1460,7,14,63,129,692,263,3003,1452,75,1634,669,1,2903,0,26,475,1313,0,1623,0,7,225,523
05-08,3126,1621,1517,1410,199,801,731,89,655,434,17,30,263,254,1473,343,230,8,13,127,122,778,84,2004,1038,41,1039,541,0,1124,0,26,517,1459,0,631,0,15,256,719
13-10,5591,3693,3004,2373,214,2007,1567,119,102,569,9,41,173,318,4379,62,374,3,27,107,183,2937,149,4322,1120,91,2905,697,0,1701,0,32,1774,2084,0,1247,0,20,1119,1307
05-03,3680,2192,1841,1679,160,1094,1023,75,399,250,12,31,208,209,2571,239,137,5,13,113,110,1575,91,2650,939,42,1627,523,0,948,0,24,1113,1595,0,561,0,12,680,939
06-10,3031,1864,1519,1431,81,941,886,37,49,344,11,23,110,143,2351,24,208,3,14,56,75,1484,101,2143,787,50,1364,450,1,812,0,21,1080,1117,1,535,0,11,682,635
08-04,1680,1239,831,809,40,608,606,25,18,47,2,9,34,76,1494,14,30,2,6,27,47,1113,23,1381,276,11,1045,183,0,464,0,15,616,585,0,361,0,11,460,407
04-04,1735,963,949,708,78,526,402,35,40,272,3,18,86,134,1182,18,104,1,11,34,61,734,80,1221,434,30,718,215,1,700,0,24,378,632,1,405,0,11,236,310
17-07,3579,2053,1891,1500,188,1170,817,66,73,2166,9,44,220,304,763,35,1369,5,21,73,124,426,250,2337,992,88,1452,513,0,2284,1,17,299,978,0,1436,0,6,163,448
01-21,4092,2029,2070,1742,280,1064,865,100,88,1227,14,62,192,364,2145,50,520,7,21,71,142,1218,198,2729,1165,66,1463,500,0,1867,0,34,643,1548,0,969,0,8,324,728
20-16,3176,1624,1656,1322,198,860,677,87,428,550,10,27,248,270,1643,236,277,5,14,98,134,860,123,1982,1071,58,1005,561,1,1123,2,17,627,1406,0,603,2,7,288,724
07-12,2606,1594,1386,1111,109,873,677,44,38,419,4,16,84,150,1895,16,197,2,8,42,57,1272,92,1973,541,39,1275,280,0,1108,1,18,602,877,0,707,0,7,393,487
01-36,2528,1592,1314,1103,111,835,702,55,34,89,5,23,43,103,2231,19,43,1,12,23,50,1444,36,1981,511,18,1291,283,1,754,0,13,945,815,0,507,0,6,611,468
18-04,3869,2562,1914,1820,135,1278,1229,55,118,326,9,21,151,191,3053,75,195,8,10,84,95,2095,97,3035,737,31,2117,414,1,1158,1,20,1268,1421,0,803,1,9,882,867
07-13,2112,1388,1160,871,81,757,585,46,32,302,3,14,58,113,1590,18,174,3,6,23,70,1094,58,1652,402,31,1104,253,0,809,1,16,563,723,0,576,0,6,375,431
06-09,5695,3241,2866,2627,202,1638,1498,105,88,349,15,41,157,287,4758,48,237,5,23,74,154,2700,149,3916,1630,72,2281,888,0,1324,1,35,2036,2299,0,899,1,20,1091,1230
01-34,2075,689,899,743,433,374,247,68,6,1264,5,34,28,498,240,0,419,1,13,7,87,162,41,867,1167,12,393,284,0,1166,0,12,57,840,0,475,0,3,19,192
01-28,4454,2413,2342,1762,350,1356,948,109,36,2029,11,59,107,412,1800,16,1041,4,25,41,137,1149,102,2938,1414,36,1736,641,0,2589,2,22,373,1468,0,1540,1,9,184,679
19-17,4894,2926,2590,2098,206,1585,1240,101,97,1714,14,56,248,312,2453,52,1169,6,28,100,159,1412,254,3447,1193,103,2114,709,1,2185,1,28,1024,1655,0,1446,0,13,569,898
17-04,6501,3276,3352,2857,292,1748,1410,118,111,2455,12,77,297,454,3095,40,1384,7,22,109,184,1530,355,4605,1541,114,2405,757,0,3111,3,41,1384,1962,0,1759,0,13,720,784
08-07,2517,1812,1227,1227,63,906,873,33,56,86,5,20,76,93,2181,30,67,3,9,47,66,1590,32,2066,419,20,1523,269,1,605,0,18,958,935,0,471,0,11,689,641
04-07,2697,1997,1360,1282,55,1014,954,29,53,50,1,16,85,95,2397,34,34,1,8,65,57,1798,31,2152,514,21,1648,328,0,680,0,6,1115,896,0,529,0,2,832,634
01-13,1555,1075,773,712,70,547,490,38,14,239,1,12,27,76,1186,8,103,1,7,21,41,894,29,1139,387,18,823,234,0,752,0,10,190,603,0,519,0,5,131,420
01-39,2526,1470,1356,1053,117,811,612,47,33,579,6,30,84,185,1609,17,273,1,11,38,91,1039,79,1867,580,27,1138,305,0,1154,0,20,501,851,0,693,0,10,301,466
