precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
02-01,2884,159,1458,1367,59,83,76,0,39,148,3,9,79,98,2508,3,14,0,0,1,2,139,40,2410,434,1,143,15,809,22,1104,949,59,2,53,45
16-01,2462,14,1302,1051,109,11,3,0,13,510,2,25,78,144,1690,1,9,0,0,0,0,4,89,1828,545,0,11,3,919,16,787,740,9,0,2,3
01-50,2623,647,1450,1047,126,397,236,14,25,2099,10,25,65,185,214,0,598,1,0,6,22,20,85,1656,882,3,481,163,1953,14,96,560,571,1,5,70
01-03,1929,691,1022,855,52,380,306,5,11,20,1,8,22,61,1806,5,6,1,2,4,9,664,18,1555,356,4,597,90,679,8,664,578,340,1,189,161
16-11,2569,314,1454,992,123,202,107,5,24,1730,13,30,94,216,462,0,275,1,3,4,13,18,133,1624,812,1,223,90,1732,9,214,614,260,0,5,49
01-25,703,91,334,297,72,52,35,4,1,453,0,11,23,90,125,1,61,0,0,0,7,22,18,386,299,0,60,31,427,5,42,229,64,1,2,24
19-05,2930,236,1437,1414,79,126,108,2,34,189,2,18,76,110,2501,1,24,0,0,4,7,200,57,2427,446,1,206,29,694,17,1290,929,76,1,93,66
18-03,2185,1,1124,996,65,0,1,0,90,87,1,6,113,88,1800,0,0,0,0,0,1,0,34,1696,455,0,0,1,647,12,703,823,0,0,0,1
16-06,1380,65,778,562,40,37,27,1,6,480,2,7,32,84,769,0,26,1,0,0,4,34,51,973,356,1,52,12,703,9,290,378,42,1,10,12
12-07,2516,8,1285,1157,74,4,4,0,12,335,9,20,70,135,1935,0,1,0,2,0,0,5,79,1825,612,1,5,2,724,21,946,825,3,0,1,4
01-01,1929,521,905,857,167,273,233,15,29,179,5,24,35,222,1435,5,40,0,4,3,21,448,51,1292,586,12,417,92,795,17,329,788,316,0,44,161
01-09,1101,463,558,505,38,244,212,7,9,16,0,5,19,40,1012,3,7,0,0,1,14,438,7,895,199,2,396,65,489,3,214,395,282,0,53,128
04-04,1685,0,924,707,54,0,0,0,39,264,3,15,87,107,1170,0,0,0,0,0,0,0,71,1194,420,0,0,0,684,16,409,576,0,0,0,0
01-48,2072,579,1016,943,113,307,258,14,36,253,8,22,65,156,1532,3,52,1,2,10,22,489,45,1547,480,5,489,85,928,20,324,800,340,1,68,170
01-07A,294,65,173,110,11,38,26,1,6,185,3,4,12,28,56,0,44,0,2,2,4,13,8,184,102,1,39,25,222,3,20,49,47,1,6,11
