id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
01-04,1167,0,606,512,49,0,0,0,7,25,1,5,7,62,1060,0,0,0,0,0,0,0,8,929,230,0,0,0,0,392,1,5,335,434,0,0,0,0,0,0
04-09,2373,1,1175,1091,107,1,0,0,226,118,12,21,166,124,1706,0,0,0,0,0,1,0,71,1730,572,0,0,1,0,577,1,15,738,1042,0,1,0,0,0,0
20-10,3183,0,1567,1490,126,0,0,0,396,106,10,25,207,176,2263,0,0,0,0,0,0,0,75,2355,753,0,0,0,3,830,1,15,791,1543,0,0,0,0,0,0
01-26,2854,0,1263,1006,585,0,0,0,12,1534,3,34,52,640,579,0,0,0,0,0,0,0,69,1384,1401,0,0,0,0,1485,0,12,96,1261,0,0,0,0,0,0
01-19,1850,0,945,737,168,0,0,0,8,1403,6,21,41,227,144,0,0,0,0,0,0,0,63,1132,655,0,0,0,1,1325,0,5,59,460,0,0,0,0,0,0
04-20,2796,0,1483,1179,134,0,0,0,145,329,9,22,146,201,1944,0,0,0,0,0,0,0,135,1940,721,0,0,0,1,1028,1,17,581,1168,0,0,0,0,0,0
01-32,2093,0,1033,930,130,0,0,0,47,369,10,27,98,187,1355,0,0,0,0,0,0,0,77,1526,490,0,0,0,0,886,0,16,342,849,0,0,0,0,0,0
13-09,4175,2,2242,1652,281,1,1,0,175,1908,8,51,257,461,1315,0,0,0,0,0,0,2,294,2676,1205,0,2,0,4,2244,0,25,530,1372,0,0,0,1,0,1
02-03,2882,0,1381,1414,87,0,0,0,34,68,6,13,70,126,2565,0,0,0,0,0,0,0,33,2393,456,0,0,0,0,631,2,16,1198,1035,0,0,0,0,0,0
13-11,2934,0,1536,1276,122,0,0,0,43,231,4,22,69,177,2388,0,0,0,0,0,0,0,57,2335,542,0,0,0,1,810,0,15,1061,1047,0,0,0,0,0,0
13-07,2246,0,1156,944,146,0,0,0,104,809,7,32,134,221,939,0,0,0,0,0,0,0,138,1522,586,0,0,0,0,1123,1,14,368,740,0,0,0,0,0,0
01-50,2825,1,1523,1097,205,0,1,0,39,2089,7,26,105,280,279,0,0,0,0,0,1,0,116,1750,959,0,0,1,0,2032,0,11,122,660,0,1,0,0,0,0
12-08,4311,206,2275,1835,201,114,88,4,50,878,13,26,142,302,2900,1,92,1,0,2,5,105,153,2868,1290,5,147,54,4,1491,0,30,1291,1495,0,123,0,0,35,48
04-13,4654,27,2330,2146,178,14,12,1,539,237,18,34,336,247,3243,1,1,2,0,1,3,19,127,3404,1123,0,18,9,0,1292,2,31,1215,2114,0,4,0,0,8,15
14-02,6316,0,3081,2946,289,0,0,0,106,352,14,32,150,367,5295,0,0,0,0,0,0,0,115,5033,1168,0,0,0,2,1301,0,46,2749,2218,0,0,0,0,0,0
01-38,2086,0,1033,931,122,0,0,0,46,543,7,23,103,219,1145,0,0,0,0,0,0,0,128,1443,515,0,0,0,0,1022,1,14,309,740,0,0,0,0,0,0
17-10,1215,0,642,510,63,0,0,0,41,419,1,8,75,126,545,0,0,0,0,0,0,0,98,792,325,0,0,0,1,631,0,5,241,337,0,0,0,0,0,0
05-03,3892,325,1957,1726,209,166,150,9,421,276,8,32,251,265,2639,25,8,1,0,19,9,263,110,2742,1040,4,265,56,2,1049,0,25,1102,1714,0,85,0,1,104,135
07-10,4818,0,2498,1992,328,0,0,0,107,687,14,36,183,409,3382,0,0,0,0,0,0,0,144,3455,1219,0,0,0,3,1789,0,46,1112,1868,0,0,0,0,0,0
08-02,3729,0,1879,1683,167,0,0,0,73,326,6,25,96,198,3005,0,0,0,0,0,0,0,83,2925,721,0,0,0,2,1176,1,32,1043,1475,0,0,0,0,0,0
07-13,2108,0,1126,869,113,0,0,0,34,294,2,13,58,139,1568,0,0,0,0,0,0,0,67,1623,418,0,0,0,0,823,1,18,536,730,0,0,0,0,0,0
08-06,1981,0,1004,797,180,0,0,0,24,469,5,10,82,230,1161,0,0,0,0,0,0,0,77,1343,561,0,0,0,4,851,0,23,307,796,0,0,0,0,0,0
04-21,1736,1,842,754,140,0,1,0,73,328,2,16,146,200,971,0,0,0,0,0,0,1,95,1092,549,0,0,1,0,680,0,16,277,763,0,0,0,0,1,0
