precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
18-06,4045,2656,2000,1797,248,1353,1158,145,181,538,12,59,176,325,2754,123,340,7,29,103,193,1861,105,2795,1145,62,1862,732,0,1504,0,35,839,1667,0,1043,0,14,553,1046
20-16,2965,1883,1540,1257,168,997,782,104,359,508,11,21,191,231,1644,258,288,6,12,115,151,1053,123,1737,1105,67,1106,710,0,1015,0,20,637,1293,0,638,0,13,417,815
04-21,1811,1108,900,823,88,563,495,50,68,371,3,20,137,146,1066,49,219,2,8,68,80,682,99,1110,602,48,703,357,0,720,0,19,309,763,0,460,0,5,203,440
04-01,2217,1648,1276,878,63,955,652,41,47,275,5,15,72,101,1702,34,158,3,7,48,65,1333,81,1532,604,46,1187,415,0,901,0,7,545,764,0,670,0,3,413,562
01-50,2801,1847,1520,1151,130,1096,678,73,20,2279,13,30,53,192,214,15,1562,7,17,30,114,102,70,1762,969,39,1198,610,0,2113,0,13,102,573,0,1497,0,7,62,281
06-05,3197,2390,1596,1523,78,1209,1136,45,15,217,1,17,32,118,2797,12,143,1,12,20,79,2123,48,2440,709,25,1894,471,0,764,0,13,1343,1077,0,572,0,8,1045,765
12-02,4331,2840,2282,1894,155,1510,1243,87,38,852,11,46,130,227,3027,30,520,8,22,84,127,2049,174,2946,1211,110,1996,734,0,1447,0,46,1379,1459,0,971,0,28,949,892
04-19,1849,1359,929,880,40,685,645,29,83,64,2,19,94,83,1504,46,42,0,15,66,65,1125,52,1382,415,36,1047,276,0,531,0,10,514,794,0,425,0,7,377,550
14-02,5564,4104,2777,2619,168,2042,1944,118,62,274,8,29,114,246,4831,44,211,5,19,85,181,3559,83,4516,965,64,3355,685,0,1211,0,35,2535,1783,0,934,0,24,1895,1251
20-15,3396,2228,1718,1446,232,1136,948,144,415,472,17,26,226,297,1943,331,274,11,13,153,198,1248,140,2087,1169,88,1357,783,0,1086,0,29,731,1550,0,702,0,13,487,1026
08-06,2345,1308,1226,947,172,718,501,89,29,664,9,37,88,232,1286,14,365,3,14,48,132,732,79,1576,690,37,886,385,0,1016,0,19,400,910,0,570,0,7,256,475
01-26,3590,1614,1655,1332,603,828,557,229,13,2376,2,58,66,637,438,6,1029,0,15,32,233,299,68,1603,1919,27,825,762,0,2145,0,12,105,1328,0,1041,0,7,54,512
01-02,2094,1383,1074,836,184,706,589,88,26,73,4,22,35,240,1694,13,29,0,11,22,118,1190,29,1489,576,13,1053,317,0,812,0,15,436,831,0,592,0,9,271,511
07-12,2699,1879,1465,1113,121,1036,771,72,35,398,3,22,78,158,2005,21,220,2,11,49,95,1481,86,1996,617,47,1448,384,0,1153,0,21,671,854,0,814,0,8,509,548
12-04,4028,2764,2061,1852,115,1449,1250,65,15,294,11,23,93,161,3431,11,196,9,9,54,97,2388,119,2927,982,60,2079,625,0,965,0,15,1746,1302,0,679,0,11,1238,836
01-04,1206,943,625,535,46,490,421,32,8,20,2,9,10,60,1097,8,14,2,7,7,39,866,11,950,245,9,763,171,0,416,0,9,387,394,0,329,0,4,312,298
01-19,2121,1240,1113,874,134,734,439,67,8,1730,8,21,39,181,134,3,1042,4,9,20,81,81,59,1297,765,25,822,393,0,1605,0,3,61,452,0,1031,0,2,25,182
10-03,2662,1703,1441,1120,101,955,692,56,22,798,10,24,72,180,1556,12,537,3,14,35,110,992,108,1916,638,55,1273,375,0,1185,0,16,742,719,0,825,0,10,497,371
01-17,1067,827,551,486,30,431,374,22,12,30,0,2,23,42,958,7,19,0,1,12,30,758,13,858,196,8,679,140,0,355,0,7,394,311,0,281,0,6,314,226
01-31,3921,1975,1612,1860,449,859,919,197,104,1138,12,71,184,545,1867,54,571,4,34,75,248,989,168,2325,1428,76,1243,656,0,1659,0,59,460,1743,0,904,0,29,238,804
01-23,8137,3704,2815,3063,2259,1334,1358,1012,280,883,22,208,161,2384,4199,135,346,9,93,80,1038,2003,300,3796,4041,123,1833,1748,0,2089,0,87,1280,4681,0,1065,0,36,541,2062
01-22,4123,2610,2242,1642,239,1550,941,119,28,3403,10,38,101,312,231,20,2229,5,20,40,167,129,160,2524,1439,73,1694,843,0,3126,0,7,104,886,0,2098,0,2,62,448
10-02,3770,2376,2021,1617,132,1317,988,71,26,1180,10,33,134,238,2149,15,769,4,13,66,136,1373,188,2713,869,92,1751,533,0,1679,0,18,1047,1026,0,1109,0,5,702,560
04-16,2063,1631,1102,901,60,910,676,45,40,104,2,17,67,107,1726,34,79,1,10,47,82,1378,46,1526,491,32,1232,367,0,689,0,22,552,800,0,571,0,13,439,608
12-01,5309,3739,2757,2421,131,1963,1699,77,50,472,7,31,121,233,4395,34,310,5,23,65,160,3142,120,3893,1296,70,2812,857,0,1384,0,31,2194,1700,0,999,0,12,1620,1108
01-15,1859,1389,994,805,60,740,609,40,25,162,2,13,44,78,1535,15,106,1,8,31,55,1173,42,1456,361,31,1112,246,0,749,0,11,566,533,0,570,0,9,431,379
19-13,2238,1445,1248,878,112,824,549,72,63,416,5,33,93,138,1490,36,256,3,17,57,87,989,68,1632,538,39,1071,335,0,781,0,10,637,810,0,526,0,4,433,482
01-07A,335,227,185,137,13,128,91,8,6,221,3,4,12,28,61,3,149,3,3,8,17,44,10,212,113,4,146,77,0,248,0,2,23,62,0,173,0,2,20,32
01-51,1109,836,612,461,36,468,342,26,10,92,0,7,19,43,938,10,46,0,4,17,27,732,19,914,176,10,703,123,0,419,0,5,334,351,0,319,0,1,256,260
01-46,3378,1839,1835,1285,258,1073,650,116,47,2068,9,49,172,383,650,27,1092,4,24,88,183,421,242,1887,1249,113,1084,642,0,2098,0,12,250,1018,0,1200,0,7,164,468
04-18,2655,1805,1350,1213,92,922,825,58,148,210,6,22,136,146,1987,106,129,1,15,95,97,1362,61,1908,686,36,1357,412,0,790,0,20,693,1152,0,573,0,10,482,740
01-03,2003,1634,1057,885,61,866,725,43,11,20,1,8,21,63,1879,8,13,1,6,15,42,1549,23,1608,372,15,1336,283,0,710,0,7,687,599,0,581,0,5,572,476
01-06,2762,1953,1416,1192,154,981,868,104,26,107,4,25,58,185,2357,19,57,3,22,35,123,1694,47,2066,649,32,1494,427,0,1120,0,29,581,1032,0,824,0,21,398,710
09-01,2378,1627,1221,1110,47,864,734,29,8,722,5,13,37,123,1470,5,493,4,8,14,86,1017,46,1830,502,25,1270,332,0,1033,0,7,734,604,0,729,0,3,533,362
07-01,1754,1177,920,755,79,631,492,54,13,319,3,21,67,115,1216,9,149,0,14,41,74,890,71,1279,404,31,902,244,0,741,0,15,425,573,0,492,0,9,300,376
12-08,4301,2929,2296,1880,125,1596,1256,77,31,1029,14,28,132,225,2842,21,666,9,13,66,141,2013,155,2900,1246,71,2056,802,0,1666,0,28,1328,1279,0,1142,0,15,926,846
01-09,1155,935,588,523,44,477,427,31,12,15,2,5,18,55,1048,6,8,0,3,14,38,866,6,918,231,6,756,173,0,508,0,5,238,404,0,437,0,3,182,313
01-48,2245,1580,1097,1003,145,804,688,88,37,280,8,23,60,184,1653,23,158,6,10,49,111,1223,52,1658,535,24,1198,358,0,1014,0,14,345,872,0,749,0,8,247,576
07-07A,587,494,415,166,6,345,146,3,1,2,0,2,2,14,566,1,1,0,1,1,11,479,1,476,110,1,403,90,0,288,0,1,187,111,0,241,0,1,157,95
01-25,902,367,334,420,148,190,131,46,1,552,2,13,31,166,137,1,221,0,4,11,60,70,26,463,413,11,193,163,0,522,0,6,44,330,0,247,0,5,18,97
19-21,20,20,8,3,9,8,3,9,0,6,0,0,0,10,4,0,6,0,0,0,10,4,1,5,14,1,5,14,0,12,0,0,0,8,0,12,0,0,0,8
16-10,23,21,6,7,10,6,7,8,1,10,0,0,0,11,1,1,10,0,0,0,9,1,0,9,14,0,9,12,0,11,0,0,2,10,0,9,0,0,2,10
19-20,10,10,7,1,2,7,1,2,1,2,0,0,0,4,3,1,2,0,0,0,4,3,1,2,7,1,2,7,0,3,0,0,3,4,0,3,0,0,3,4
16-11,24,21,12,5,7,10,4,7,0,11,0,0,0,10,3,0,9,0,0,0,9,3,4,8,12,3,6,12,0,14,0,0,1,9,0,12,0,0,1,8
19-18,5,5,2,1,2,2,1,2,0,1,0,0,1,2,1,0,1,0,0,1,2,1,1,2,2,1,2,2,0,4,0,0,0,1,0,4,0,0,0,1
19-19,12,11,4,4,4,4,3,4,0,3,0,0,0,4,5,0,3,0,0,0,4,4,0,8,4,0,7,4,0,8,0,0,3,1,0,8,0,0,2,1
17-12,13,11,6,4,3,6,4,1,0,4,0,0,0,8,1,0,4,0,0,0,6,1,2,5,6,2,5,4,0,4,0,0,2,7,0,4,0,0,2,5
17-13,14,12,7,4,3,7,2,3,0,2,0,0,1,4,7,0,2,0,0,1,4,5,3,5,6,2,5,5,0,5,0,0,1,8,0,4,0,0,1,7
