precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
19-09,4093,3051,2071,1875,147,1568,1381,102,44,731,8,23,73,202,3012,29,577,6,12,49,148,2230,79,3196,818,55,2398,598,0,1348,0,19,1554,1172,0,1071,0,6,1158,816
04-14,1679,1312,872,773,34,693,594,25,21,71,5,10,51,57,1464,11,48,2,8,37,45,1161,48,1295,336,28,1032,252,0,584,0,14,467,614,0,475,0,7,386,444
04-08,2339,1687,1195,1052,92,878,744,65,132,361,7,20,128,144,1547,104,241,7,11,101,100,1123,92,1601,646,59,1188,440,0,854,0,11,486,988,0,629,0,4,358,696
15-04,2095,1548,1067,976,52,801,715,32,12,329,3,18,35,84,1614,6,259,2,10,25,58,1188,33,1653,409,20,1251,277,0,672,0,10,841,572,0,530,0,7,642,369
04-03,2078,1396,1058,922,98,707,628,61,46,367,2,23,104,127,1409,30,190,1,11,69,75,1020,96,1462,520,56,1031,309,0,816,0,6,488,768,0,543,0,5,353,495
01-29,2304,1873,1169,1067,68,953,876,44,14,48,4,6,14,77,2141,11,27,4,3,11,48,1769,9,1917,378,5,1589,279,0,847,0,9,854,594,0,707,0,5,705,456
04-02,2470,1806,1268,1125,77,936,816,54,58,232,5,22,133,132,1888,42,151,5,11,81,94,1422,133,1738,599,76,1338,392,0,939,0,20,606,905,0,708,0,9,476,613
01-20,2888,1753,1390,1294,204,905,744,104,34,1580,5,36,66,277,890,25,895,2,20,40,159,612,56,1768,1064,30,1137,586,0,1777,0,20,218,873,0,1121,0,9,133,490
18-03,2298,1785,1177,1036,85,934,794,57,89,96,1,4,110,103,1895,71,58,0,3,78,70,1505,29,1752,517,15,1400,370,0,672,0,10,767,849,0,516,0,5,621,643
20-04,3430,2560,1717,1585,128,1270,1195,95,408,147,6,27,232,162,2448,313,105,5,20,171,122,1824,76,2428,926,53,1850,657,0,875,0,21,977,1557,0,677,0,10,744,1129
18-08,3955,2697,1988,1800,167,1367,1224,106,135,369,7,32,175,229,3008,88,213,7,15,124,156,2094,98,2879,978,56,2025,616,0,1217,0,28,1117,1593,0,858,0,19,801,1019
17-04,5964,3828,3110,2603,251,2048,1624,156,81,2170,16,79,220,422,2976,53,1423,10,49,125,272,1896,276,4196,1492,156,2710,962,0,2856,0,35,1390,1683,0,1915,0,23,922,968
13-10,5511,4216,2945,2386,180,2291,1802,123,92,540,5,45,163,282,4384,72,394,2,31,123,207,3387,132,4288,1091,92,3305,819,0,1658,0,19,1903,1931,0,1331,0,13,1437,1435
07-03,1543,1246,781,728,34,635,589,22,20,90,2,10,20,48,1353,16,59,2,6,16,34,1113,12,1275,256,8,1038,200,0,538,0,4,493,508,0,441,0,2,403,400
01-38,2244,1582,1146,999,99,845,684,53,48,614,6,30,107,190,1249,32,405,4,23,56,110,952,128,1588,528,65,1171,346,0,1149,0,24,371,700,0,849,0,14,268,451
02-06,2588,2020,1280,1242,66,1012,961,47,33,128,2,8,70,86,2261,26,102,2,6,56,66,1762,27,2150,411,21,1700,299,0,599,0,8,1213,768,0,492,0,6,973,549
01-42,2807,2149,1479,1265,63,1155,955,39,42,186,5,12,78,97,2387,27,119,4,7,57,78,1857,23,2312,472,18,1799,332,0,825,0,5,1123,854,0,632,0,2,885,630
19-14,2773,1887,1425,1237,111,991,827,69,117,419,5,33,117,147,1935,79,268,3,18,84,100,1335,64,2105,604,40,1458,389,0,793,0,15,1026,939,0,514,0,6,746,621
08-08,4145,3173,2096,1921,128,1617,1475,81,88,229,10,29,116,193,3480,71,182,8,18,82,144,2668,95,3268,782,69,2525,579,0,1099,0,15,1478,1553,0,903,0,11,1088,1171
01-39,2731,1813,1500,1119,112,1029,716,68,25,650,9,32,101,183,1731,17,376,3,18,53,116,1230,71,2018,642,36,1376,401,0,1280,0,19,530,902,0,859,0,12,371,571
05-06,4775,3654,2455,2161,159,1920,1627,107,648,149,9,20,290,246,3413,543,109,6,12,232,188,2564,69,3339,1367,50,2613,991,0,1258,0,16,1420,2081,0,1004,0,10,1081,1559
01-45,1788,1331,924,800,64,692,597,42,34,297,4,11,50,107,1285,23,183,2,6,30,70,1017,50,1343,395,29,1020,282,0,674,0,12,486,616,0,504,0,7,386,434
05-05,7126,4099,3690,2963,473,2125,1731,243,364,1480,28,89,310,700,4155,245,782,15,41,187,393,2436,234,4761,2131,126,2794,1179,0,2555,0,54,1742,2775,0,1454,0,23,1035,1587
06-04,3467,2376,1845,1517,105,1297,1017,62,40,546,11,22,123,198,2527,25,349,6,13,71,132,1780,123,2293,1051,76,1596,704,0,1149,0,30,1015,1273,0,804,0,14,719,839
01-36,2322,1744,1194,1025,103,912,761,71,25,79,2,16,33,92,2075,15,45,1,9,19,63,1592,28,1827,467,18,1385,341,0,710,0,12,903,697,0,546,0,12,703,483
13-09,4125,2777,2255,1637,233,1563,1060,154,184,1869,11,43,229,382,1407,113,1303,6,27,152,272,904,246,2681,1198,167,1809,801,0,2193,0,13,612,1307,0,1562,0,6,391,818
01-49,3524,1775,1638,1364,522,873,673,229,72,1015,7,69,127,564,1670,37,462,1,30,50,246,949,135,1907,1482,58,1030,687,0,1463,0,34,557,1470,0,809,0,15,300,651
12-09,3878,2751,2026,1750,102,1486,1213,52,36,405,12,16,75,168,3166,19,257,8,8,51,100,2308,103,2742,1033,57,2025,669,0,1078,0,17,1482,1301,0,769,0,11,1097,874
19-11,2800,1991,1484,1212,104,1082,838,71,33,259,9,19,81,161,2238,21,180,9,9,59,118,1595,93,2159,548,55,1540,396,0,818,0,13,981,988,0,632,0,10,694,655
16-01,2634,1548,1395,1104,135,851,638,59,18,509,6,25,77,192,1807,8,320,3,15,42,98,1062,87,1925,622,45,1161,342,0,976,0,18,855,785,0,628,0,2,518,400
06-09,5036,3657,2557,2314,165,1859,1682,116,59,362,10,31,115,245,4214,38,269,4,15,85,175,3071,123,3426,1487,79,2505,1073,0,1195,0,30,1864,1947,0,895,0,20,1377,1365
20-06A,4644,3300,2457,2016,171,1777,1415,108,132,677,10,41,174,282,3328,95,432,4,19,110,189,2451,173,3106,1365,101,2265,934,0,1550,0,36,1292,1766,0,1097,0,20,944,1239
01-28,4485,2801,2428,1835,222,1597,1089,115,29,2351,13,56,96,288,1652,14,1395,4,23,51,153,1161,90,2983,1412,44,1959,798,0,2806,0,17,394,1268,0,1846,0,7,245,703
05-07,6304,4567,3168,2847,289,2319,2048,200,1551,678,30,58,534,484,2969,1227,456,19,34,378,355,2098,221,3795,2288,143,2767,1657,0,2116,0,45,1124,3019,0,1564,0,31,792,2180
04-20,3127,2163,1653,1349,125,1162,922,79,117,420,14,26,152,195,2203,89,235,8,11,95,128,1597,134,2098,895,78,1511,574,0,1144,0,16,727,1240,0,803,0,9,525,826
04-09,2555,1785,1273,1199,83,907,832,46,192,129,8,18,148,111,1949,145,71,6,10,108,67,1378,62,1844,649,41,1341,403,0,591,0,11,863,1090,0,428,0,4,612,741
08-03,5041,3398,2641,2160,240,1791,1463,144,149,779,14,40,169,355,3535,91,500,12,26,107,226,2436,148,3615,1278,94,2489,815,0,1704,0,43,1436,1858,0,1170,0,24,969,1235
19-12,5521,3768,2960,2365,196,2032,1609,127,74,737,11,43,161,313,4182,51,502,7,25,94,216,2873,176,4147,1198,125,2833,810,0,1642,0,34,1929,1916,0,1172,0,21,1339,1236
06-10,2805,2005,1390,1336,79,1028,936,41,31,346,10,22,87,125,2184,25,238,5,11,52,78,1596,88,1961,756,55,1447,503,0,787,0,19,1013,986,0,571,0,11,767,656
20-03,3569,2527,1847,1588,134,1315,1124,88,80,109,3,18,89,182,3088,53,74,1,11,58,123,2207,71,2618,880,45,1908,574,0,951,0,27,1269,1322,0,689,0,12,919,907
20-11,3758,2666,1879,1746,133,1346,1233,87,135,195,10,25,140,196,3057,96,132,8,16,101,136,2177,107,2714,937,83,1967,616,0,927,0,23,1282,1526,0,673,0,14,934,1045
19-17,4729,3356,2489,2045,195,1810,1419,127,78,1661,14,54,200,304,2418,52,1234,8,33,129,209,1691,215,3292,1222,129,2365,862,0,2102,0,22,1081,1524,0,1593,0,14,766,983
01-43,2338,1497,1258,956,124,828,605,64,20,633,1,32,91,200,1361,13,350,1,14,40,110,969,125,1581,632,59,1073,365,0,1085,0,14,457,782,0,707,0,9,330,451
12-05,7201,5281,3655,3332,214,2733,2420,128,103,616,10,41,152,324,5955,71,423,8,25,98,221,4435,179,5193,1829,112,3878,1291,0,1844,0,47,2796,2514,0,1406,0,23,2104,1748
06-07,3305,2404,1639,1554,112,1200,1127,77,114,427,4,21,143,188,2408,82,302,1,15,111,125,1768,71,2374,860,45,1750,609,0,1035,0,19,1049,1202,0,796,0,8,770,830
15-01,4040,2749,2044,1885,111,1403,1277,69,20,514,21,17,84,215,3169,14,345,8,7,50,150,2175,88,3044,908,60,2108,581,0,1232,0,30,1563,1215,0,873,0,19,1087,770
04-15,2402,1759,1267,1069,66,926,796,37,48,201,3,12,78,109,1951,34,136,3,5,52,72,1457,71,1750,581,44,1322,393,0,742,0,26,646,988,0,566,0,14,463,716
15-02,5109,3617,2592,2358,159,1857,1668,92,53,807,15,44,159,258,3773,37,571,10,30,100,160,2709,200,3763,1146,129,2711,777,0,1656,0,24,1825,1604,0,1190,0,15,1334,1078
05-08,2913,1953,1428,1321,164,971,865,117,517,417,10,33,222,225,1489,393,273,6,21,152,156,952,94,1757,1062,65,1177,711,0,1027,0,20,547,1319,0,710,0,11,350,882
