id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_GRE,party_LIB,party_NLB,party_REP,party_UNA,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted
12-02,5743,937,2843,2386,514,469,415,53,90,974,18,39,307,0,562,3753,7,148,0,3,24,0,51,704,321,3597,1825,18,650,269,1789,1,70,0,1588,2295,320,0,7,0,267,343
18-08,4215,1,2003,1809,403,0,0,1,184,387,14,19,253,1,419,2938,0,0,0,0,0,0,1,0,140,2907,1168,0,0,1,1347,1,23,3,901,1940,1,0,0,0,0,0
19-22,3130,516,1598,1313,219,260,235,21,52,353,5,20,96,0,242,2362,6,47,1,3,11,0,20,428,125,2172,833,15,386,115,858,2,22,1,925,1322,167,0,2,0,134,213
17-10,1279,0,646,503,130,0,0,0,46,400,2,8,111,0,184,528,0,0,0,0,0,0,0,0,121,756,402,0,0,0,572,0,9,1,233,464,0,0,0,0,0,0
01-31,3466,0,1366,1528,572,0,0,0,103,869,16,40,194,0,610,1634,0,0,0,0,0,0,0,0,163,2040,1263,0,0,0,1407,4,26,1,304,1724,0,0,0,0,0,0
19-03,3401,549,1680,1394,327,306,222,21,33,372,6,14,126,0,336,2514,5,42,1,1,8,0,27,465,130,2249,1022,11,433,105,996,0,43,0,980,1382,207,0,2,0,147,193
19-07,5385,977,2716,2221,448,505,411,61,98,1018,6,21,213,1,504,3524,12,120,0,4,18,0,56,767,199,3586,1600,15,707,255,1648,2,38,1,1580,2116,304,0,1,0,312,360
19-09,5215,785,2520,2289,406,415,338,32,65,950,12,29,184,0,468,3507,8,203,2,7,24,0,50,491,185,3643,1387,27,573,185,1535,0,24,0,1731,1925,300,0,0,0,204,281
18-02,5024,0,2425,2324,275,0,0,0,142,175,9,19,177,0,328,4174,0,0,0,0,0,0,0,0,131,3693,1200,0,0,0,1213,1,40,3,1544,2223,0,0,0,0,0,0
20-12,6144,935,2821,2655,668,434,430,71,1036,338,63,28,463,0,704,3512,121,49,8,1,42,0,82,632,173,3953,2018,11,667,257,1691,1,27,4,1263,3158,315,0,2,1,197,420
18-01,4443,2,1876,1821,746,2,0,0,179,942,7,52,233,0,808,2222,0,0,0,0,0,0,0,2,206,2629,1608,0,2,0,1805,3,36,4,460,2135,1,0,0,0,0,1
15-04,2363,99,1129,1079,155,57,38,4,19,367,4,16,89,0,177,1691,2,45,0,1,3,0,6,42,83,1766,514,0,83,16,694,2,18,0,780,869,61,0,0,0,15,23
18-06,3885,0,1801,1640,444,0,0,0,225,492,15,25,271,0,458,2399,0,0,0,0,0,0,0,0,162,2506,1217,0,0,0,1473,0,32,5,549,1826,0,0,0,0,0,0
05-06,5411,9,2626,2354,431,4,3,2,968,197,17,26,385,0,502,3316,1,2,0,0,0,0,0,6,120,3647,1644,0,7,2,1508,1,18,2,1090,2792,5,0,0,0,0,4
20-05,4401,43,2169,1928,304,22,16,5,237,202,14,12,195,0,314,3427,0,5,1,0,1,0,3,33,78,3121,1202,0,25,18,1129,0,33,1,1206,2032,21,0,1,0,4,17
06-05,3171,854,1512,1481,178,400,417,37,41,168,3,6,53,0,215,2685,9,25,1,4,14,0,40,761,68,2334,769,9,669,176,676,0,12,0,1105,1378,172,0,0,0,346,336
17-03,6530,0,3252,2632,646,0,0,0,214,2242,18,72,365,1,732,2886,0,0,0,0,0,0,0,0,331,4204,1995,0,0,0,3009,2,56,3,992,2468,0,0,0,0,0,0
01-38,2204,0,1047,936,221,0,0,0,67,496,5,20,157,0,300,1159,0,0,0,0,0,0,0,0,155,1387,662,0,0,0,1039,0,20,2,319,824,0,0,0,0,0,0
12-08,5382,646,2670,2256,456,344,267,35,105,934,17,27,283,0,520,3496,8,150,1,5,22,0,40,420,272,3419,1691,17,430,199,1685,1,59,2,1457,2178,267,1,5,0,151,222
07-04,3983,0,2022,1576,385,0,0,0,55,618,5,26,158,0,409,2712,0,0,0,0,0,0,0,0,160,2753,1070,0,0,0,1506,3,35,1,674,1764,0,0,0,0,0,0
06-12,7225,1917,3507,3197,521,936,884,97,254,370,18,31,243,0,572,5737,42,78,0,8,30,0,100,1659,240,4691,2294,43,1313,561,1682,0,61,2,2177,3303,531,0,10,0,643,733
17-11,4549,1,2135,1873,541,1,0,0,336,1590,11,57,425,0,760,1370,0,0,0,0,1,0,0,0,529,2521,1499,1,0,0,2131,2,33,4,571,1808,0,0,0,0,0,1
01-35,2308,0,1109,876,323,0,0,0,11,1477,7,19,98,0,382,314,0,0,0,0,0,0,0,0,155,1319,834,0,0,0,1481,3,15,0,76,733,0,0,0,0,0,0
08-05,2085,0,1044,928,113,0,0,0,44,106,2,16,59,0,136,1722,0,0,0,0,0,0,0,0,45,1637,403,0,0,0,624,0,14,0,565,882,0,0,0,0,0,0
05-03,4312,251,2065,1879,368,129,106,16,549,335,12,31,306,0,388,2691,31,16,1,1,13,0,17,172,143,2873,1296,3,190,58,1223,1,26,1,987,2074,91,0,0,0,53,107
16-10,4886,0,2517,1859,510,0,0,0,66,2956,9,41,305,1,663,845,0,0,0,0,0,0,0,0,400,2796,1690,0,0,0,2912,2,23,2,377,1570,0,0,0,0,0,0
