precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
07-03,1588,0,778,723,87,0,0,0,18,102,2,9,26,0,103,1328,0,0,0,0,0,0,0,0,14,1261,313,0,0,0,571,6,384,627,0,0,0,0
01-19,1848,0,921,709,218,0,0,0,8,1300,7,14,45,0,271,203,0,0,0,0,0,0,0,0,70,1086,692,0,0,0,1287,8,73,480,0,0,0,0
04-19,1775,0,845,836,94,0,0,0,77,68,1,14,105,0,119,1391,0,0,0,0,0,0,0,0,53,1302,420,0,0,0,531,14,388,842,0,0,0,0
01-51,1036,0,561,413,62,0,0,0,9,64,0,4,20,0,59,880,0,0,0,0,0,0,0,0,22,804,210,0,0,0,377,7,255,397,0,0,0,0
04-03,2128,0,1015,912,201,0,0,0,54,282,2,23,117,0,240,1410,0,0,0,0,0,0,0,0,117,1448,563,0,0,0,794,17,413,904,0,0,0,0
13-08,3197,0,1679,1138,380,0,0,0,69,1471,10,44,177,0,550,876,0,0,0,0,0,0,0,0,332,1784,1081,0,0,0,1784,33,374,1006,0,0,0,0
01-47,2144,0,1081,945,118,0,0,0,26,109,3,8,63,0,129,1806,0,0,0,0,0,0,0,0,34,1708,402,0,0,0,688,16,682,758,0,0,0,0
19-14,3161,1,1560,1304,297,0,1,0,146,580,9,29,151,0,325,1921,0,1,0,0,0,0,0,0,118,2232,811,0,1,0,1018,31,925,1187,0,0,0,1
01-05,1167,0,581,527,59,0,0,0,5,21,1,1,15,0,75,1049,0,0,0,0,0,0,0,0,5,941,221,0,0,0,409,4,383,371,0,0,0,0
01-07A,286,0,144,119,23,0,0,0,8,179,2,5,14,0,21,57,0,0,0,0,0,0,0,0,11,173,102,0,0,0,200,3,26,57,0,0,0,0
08-04,1773,0,856,830,87,0,0,0,22,56,5,10,39,0,107,1534,0,0,0,0,0,0,0,0,18,1424,331,0,0,0,490,11,576,696,0,0,0,0
04-18,2881,0,1366,1222,293,0,0,0,178,249,4,29,127,0,315,1979,0,0,0,0,0,0,0,0,85,1987,809,0,0,0,985,28,519,1349,0,0,0,0
01-04,1155,0,569,500,86,0,0,0,8,16,1,7,6,0,92,1025,0,0,0,0,0,0,0,0,5,894,256,0,0,0,381,4,335,435,0,0,0,0
13-02,2020,0,999,878,143,0,0,0,34,192,4,13,46,0,161,1570,0,0,0,0,0,0,0,0,45,1528,447,0,0,0,619,11,569,821,0,0,0,0
01-17,1110,0,559,488,63,0,0,0,19,28,1,4,11,0,74,973,0,0,0,0,0,0,0,0,14,846,250,0,0,0,332,10,379,389,0,0,0,0
13-05,2248,0,1158,798,292,0,0,0,33,842,6,21,83,0,360,903,0,0,0,0,0,0,0,0,139,1346,763,0,0,0,1112,31,304,801,0,0,0,0
