id,Mike Causey,Natasha Marcus,over,under
20-06B,1353,1868,0,127
20-08,1872,2516,1,201
20-09,1031,1485,0,89
20-10,974,1831,0,108
20-11,2273,3293,0,211
20-12,2212,3447,2,185
20-14,2339,4403,0,227
20-15,1285,2906,1,169
20-16,1222,2763,0,142
20-17,1560,2931,0,182
