id,Chris Freeman,Martin E. Moore,over,under
19-20,1595,1772,2,107
19-21,1904,2719,5,153
19-22,1404,1510,0,132
19-23,1938,2554,1,176
20-01,1254,1994,1,128
20-03,1634,2372,0,187
20-04,1071,2073,0,106
20-05,1646,2162,0,177
20-06A,1712,2932,0,208
20-06B,1297,1908,0,143
20-08,1816,2549,2,223
20-09,993,1507,0,105
20-10,932,1866,1,114
20-11,2222,3311,0,244
20-12,2145,3502,1,198
20-14,2335,4391,1,242
20-15,1247,2949,0,165
20-16,1205,2772,0,150
20-17,1549,2956,2,166
